experiment_rna_short_read_id	percent_mtRNA	library_prep_type	percent_Globin	experiment_type	seq_library_prep_kit_method	date_data_generation	percent_chrX_Y	percent_UMI	single_or_paired_ends	estimated_library_size	read_length	percent_rRNA	sequencing_platform	5prime3prime_bias	RIN	analyte_id	total_reads	experiment_sample_id	percent_mRNA	within_site_batch_name	percent_GC
CNH_I_UCI001-090_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.4	UCI001-090_RNA	150630788	CNH_I_UCI001-090_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-091_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.3	UCI001-091_RNA	170989684	CNH_I_UCI001-091_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-092_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.9	UCI001-092_RNA	188266275	CNH_I_UCI001-092_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-093_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.5	UCI001-093_RNA	144890606	CNH_I_UCI001-093_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-094_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.6	UCI001-094_RNA	149873100	CNH_I_UCI001-094_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-095_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.6	UCI001-095_RNA	158244535	CNH_I_UCI001-095_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-096_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.6	UCI001-096_RNA	117286136	CNH_I_UCI001-096_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-097_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9	UCI001-097_RNA	176152600	CNH_I_UCI001-097_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-098_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.7	UCI001-098_RNA	161417602	CNH_I_UCI001-098_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-099_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.7	UCI001-099_RNA	178914147	CNH_I_UCI001-099_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-100_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.7	UCI001-100_RNA	189010655	CNH_I_UCI001-100_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-101_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.1	UCI001-101_RNA	156859109	CNH_I_UCI001-101_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-102_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.1	UCI001-102_RNA	171224528	CNH_I_UCI001-102_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-103_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9	UCI001-103_RNA	171888465	CNH_I_UCI001-103_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-104_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.1	UCI001-104_RNA	166600693	CNH_I_UCI001-104_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-105_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.1	UCI001-105_RNA	178150915	CNH_I_UCI001-105_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-106_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.7	UCI001-106_RNA	178263270	CNH_I_UCI001-106_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-107_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.3	UCI001-107_RNA	167117501	CNH_I_UCI001-107_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-108_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.3	UCI001-108_RNA	179600372	CNH_I_UCI001-108_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-109_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.9	UCI001-109_RNA	168399855	CNH_I_UCI001-109_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-110_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9	UCI001-110_RNA	189454469	CNH_I_UCI001-110_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-111_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.2	UCI001-111_RNA	143037351	CNH_I_UCI001-111_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-112_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.3	UCI001-112_RNA	154035477	CNH_I_UCI001-112_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-113_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.5	UCI001-113_RNA	206171239	CNH_I_UCI001-113_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-114_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.8	UCI001-114_RNA	153355323	CNH_I_UCI001-114_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-115_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.3	UCI001-115_RNA	123061268	CNH_I_UCI001-115_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-116_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.1	UCI001-116_RNA	158019439	CNH_I_UCI001-116_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-117_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.2	UCI001-117_RNA	135773986	CNH_I_UCI001-117_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-118_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.3	UCI001-118_RNA	170590183	CNH_I_UCI001-118_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-119_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.2	UCI001-119_RNA	130511525	CNH_I_UCI001-119_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-120_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.6	UCI001-120_RNA	178136128	CNH_I_UCI001-120_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-121_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.6	UCI001-121_RNA	138329689	CNH_I_UCI001-121_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-122_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	6.5	UCI001-122_RNA	151931019	CNH_I_UCI001-122_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-123_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.4	UCI001-123_RNA	126914661	CNH_I_UCI001-123_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-124_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.9	UCI001-124_RNA	98427842	CNH_I_UCI001-124_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-125_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.7	UCI001-125_RNA	149989794	CNH_I_UCI001-125_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-126_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	7.6	UCI001-126_RNA	137482656	CNH_I_UCI001-126_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-127_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.3	UCI001-127_RNA	139367860	CNH_I_UCI001-127_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-128_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	7.3	UCI001-128_RNA	134351023	CNH_I_UCI001-128_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-129_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	5.9	UCI001-129_RNA	147300303	CNH_I_UCI001-129_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-130_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	5.6	UCI001-130_RNA	171363552	CNH_I_UCI001-130_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-131_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.1	UCI001-131_RNA	162100507	CNH_I_UCI001-131_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-132_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9	UCI001-132_RNA	186055449	CNH_I_UCI001-132_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-133_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.2	UCI001-133_RNA	160702389	CNH_I_UCI001-133_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-134_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.2	UCI001-134_RNA	155606410	CNH_I_UCI001-134_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-135_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	7.8	UCI001-135_RNA	139810833	CNH_I_UCI001-135_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-136_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.8	UCI001-136_RNA	176158044	CNH_I_UCI001-136_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-137_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.7	UCI001-137_RNA	195727047	CNH_I_UCI001-137_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-138_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.2	UCI001-138_RNA	165452312	CNH_I_UCI001-138_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-139_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.8	UCI001-139_RNA	164409941	CNH_I_UCI001-139_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-140_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9	UCI001-140_RNA	173290875	CNH_I_UCI001-140_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-141_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.2	UCI001-141_RNA	145355603	CNH_I_UCI001-141_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-142_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.9	UCI001-142_RNA	166735414	CNH_I_UCI001-142_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-143_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.6	UCI001-143_RNA	150525111	CNH_I_UCI001-143_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-144_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.4	UCI001-144_RNA	143611243	CNH_I_UCI001-144_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-145_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.1	UCI001-145_RNA	141918523	CNH_I_UCI001-145_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-146_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.8	UCI001-146_RNA	188758587	CNH_I_UCI001-146_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-147_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9	UCI001-147_RNA	174344517	CNH_I_UCI001-147_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-148_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.9	UCI001-148_RNA	183245929	CNH_I_UCI001-148_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-149_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.2	UCI001-149_RNA	171703698	CNH_I_UCI001-149_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-150_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.9	UCI001-150_RNA	163323791	CNH_I_UCI001-150_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-151_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.6	UCI001-151_RNA	166571183	CNH_I_UCI001-151_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-152_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9	UCI001-152_RNA	177718589	CNH_I_UCI001-152_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-153_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	6.5	UCI001-153_RNA	170492818	CNH_I_UCI001-153_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-154_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9	UCI001-154_RNA	169301879	CNH_I_UCI001-154_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-155_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.3	UCI001-155_RNA	153942990	CNH_I_UCI001-155_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-156_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	7.9	UCI001-156_RNA	136579365	CNH_I_UCI001-156_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-157_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.9	UCI001-157_RNA	117096515	CNH_I_UCI001-157_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-158_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.3	UCI001-158_RNA	163381867	CNH_I_UCI001-158_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-159_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.2	UCI001-159_RNA	143830413	CNH_I_UCI001-159_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-160_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.1	UCI001-160_RNA	150336419	CNH_I_UCI001-160_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-161_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.8	UCI001-161_RNA	182809667	CNH_I_UCI001-161_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-162_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.7	UCI001-162_RNA	164453153	CNH_I_UCI001-162_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-163_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9	UCI001-163_RNA	187934699	CNH_I_UCI001-163_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-164_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8	UCI001-164_RNA	116531834	CNH_I_UCI001-164_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-165_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9	UCI001-165_RNA	125918893	CNH_I_UCI001-165_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-166_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.3	UCI001-166_RNA	171078394	CNH_I_UCI001-166_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-167_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.7	UCI001-167_RNA	158323596	CNH_I_UCI001-167_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-168_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.4	UCI001-168_RNA	132187450	CNH_I_UCI001-168_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-169_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.6	UCI001-169_RNA	180194064	CNH_I_UCI001-169_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-170_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.5	UCI001-170_RNA	164075172	CNH_I_UCI001-170_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-171_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.3	UCI001-171_RNA	160582997	CNH_I_UCI001-171_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-172_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.4	UCI001-172_RNA	113302361	CNH_I_UCI001-172_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-173_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.9	UCI001-173_RNA	175635854	CNH_I_UCI001-173_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-174_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.5	UCI001-174_RNA	173026722	CNH_I_UCI001-174_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-175_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.6	UCI001-175_RNA	197864387	CNH_I_UCI001-175_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-176_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	9.2	UCI001-176_RNA	150212714	CNH_I_UCI001-176_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-177_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.3	UCI001-177_RNA	152727512	CNH_I_UCI001-177_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-178_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	6.4	UCI001-178_RNA	142901376	CNH_I_UCI001-178_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-179_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.7	UCI001-179_RNA	202215579	CNH_I_UCI001-179_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-180_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.3	UCI001-180_RNA	160849371	CNH_I_UCI001-180_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-181_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	8.4	UCI001-181_RNA	149919797	CNH_I_UCI001-181_RNA	NA	SeqMatic-1	NA
CNH_I_UCI001-182_RNA	NA	rRNA depletion|globin depletion	NA	paired-end|untargeted	Watchmaker ribosomal and globin depletion	NA	NA	NA	paired-end	NA	150	NA	NovaSeq	NA	7.7	UCI001-182_RNA	147260862	CNH_I_UCI001-182_RNA	NA	SeqMatic-1	NA
